Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
16048519433,"Oct 05, 2025",10.04 uni to home,Ride,,64290,143.81,,,False,,,activities/16048519433.gpx,,9.0,64290.0,7868.0,143813.5,39.66,18.278,701.0,690.1,-2.0,71.9,39.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.237,0.0,,,,,0.0,,,,,,,0.0,,,,,
16051506702,"Oct 06, 2025",10.06 public transpo to agc,Ride,,25056,35.71,,,False,,,activities/16051506702.gpx,,9.0,25056.0,2362.0,35715.5,27.58,15.121,280.3,308.0,-26.0,13.1,24.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.425,0.0,,,,,0.0,,,,,,,0.0,,,,,
16055901411,"Oct 06, 2025",10.07  walk to work,Walk,,20928,0.54,,,False,,,activities/16055901411.gpx,,9.0,20928.0,292.0,542.4,8.62,1.858,13.3,14.8,1.4,18.4,28.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.0,,,,,0.0,,,,,,,0.0,,,,,
16075755200,"Oct 07, 2025",10.08 work to home,Ride,,105097,40.63,,,False,,,activities/16075755200.gpx,,9.0,105097.0,3749.0,40638.2,27.98,10.84,254.1,285.3,-12.1,42.6,37.8,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387,0.0,,,,,0.0,,,,,,,0.0,,,,,
16089881911,"Oct 09, 2025",10.09 home - work,Ride,,41835,58.74,,,False,,,activities/16089881911.gpx,,9.0,41835.0,13404.0,58743.6,27.9,4.383,475.6,495.4,-16.5,42.6,45.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.404,0.0,,,,,0.0,,,,,,,0.0,,,,,
16092930084,"Oct 10, 2025",10.10 walk to bus stop,Walk,,638,0.69,,,False,,,activities/16092930084.gpx,,,638.0,586.0,694.7,3.18,1.185,7.7,4.9,30.3,36.1,15.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.089,0.0,,,,958.0,0.0,,,,,,,,,,,,
16095755280,"Oct 10, 2025",10.10 walk @ al seef,Walk,,2560,0.26,,,False,,,activities/16095755280.gpx,,,2560.0,159.0,260.4,8.8,1.638,0.0,0.0,0.9,3.2,9.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.0,,,,,0.0,,,,,,,0.0,,,,,
16098264675,"Oct 10, 2025",10.10 walk @ burju,Walk,,4412,0.25,,,False,,,activities/16098264675.gpx,,,4412.0,168.0,255.9,5.208,1.523,13.3,14.7,-3.4,21.7,29.8,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.0,,,,2294.0,0.0,,,,,,,0.0,,,,,
16098480370,"Oct 10, 2025",10.10 studying,Workout,,2001,0.01,,,False,,,activities/16098480370.gpx,,,2001.0,1.0,9.4,0.86,9.4,0.0,0.0,31.8,31.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760119200.0,1.0,28.4,29.0,21.7,0.67,1009.9,1.6,3.0,356.0,0.0,1760062492.0,1760104604.0,0.625,,,0.0,1.0,0.0,20141.0,0.0,,,,,,0.005,0.0,,,,,0.0,,,,,,,0.0,,,,,
16102977017,"Oct 11, 2025",10.11 public transpo to work,Ride,,4727,40.19,,,False,,,activities/16102977017.gpx,,9.0,4727.0,3288.0,40196.6,35.62,12.225,274.9,306.9,-12.6,42.6,48.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.504,0.0,,,,,0.0,,,,,,,,,,,,
16109929452,"Oct 11, 2025",10.11 dm & work,Walk,,41213,33.67,,,False,,,activities/16109929452.gpx,,,41213.0,3081.0,33669.8,30.86,10.928,288.5,260.8,-18.8,34.6,50.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,0.0,,,,11510.0,0.0,,,,,,,0.0,,,,,
16112607346,"Oct 12, 2025",10.12 @ uni,Walk,,3636,0.48,,,False,,,activities/16112607346.gpx,,,3636.0,428.0,484.4,6.217,1.132,0.0,0.0,10.3,10.4,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.0,,,,230.0,0.0,,,,,,,0.0,,,,,
16123509909,"Oct 13, 2025",10.13 sitting,Workout,,2765,0.0,,,False,,,activities/16123509909.gpx,,,2765.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,32.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760328000.0,1.0,29.3,31.5,19.0,0.54,1012.8,1.5,4.8,146.0,0.0,1760321764.0,1760363623.0,0.625,,,0.0,1.0,0.29,23578.4,1.0,,,,,,0.0,0.0,,,,,0.0,,,,,,20.0,,,,,,
16124462984,"Oct 13, 2025",10.13 walk,Walk,,349,0.2,,,False,,,activities/16124462984.gpx,,,349.0,183.0,207.8,3.925,1.136,0.0,0.0,29.6,32.6,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760342400.0,1.0,35.7,37.9,17.0,0.33,1011.8,3.1,6.4,225.0,0.0,1760321767.0,1760363626.0,0.625,,,0.0,1.0,0.08,23063.5,8.0,,,,,,0.595,0.0,,,,342.0,0.0,,,,,,,0.0,,,,,
16141488518,"Oct 14, 2025",10.14 metro,Ride,,1554,15.69,,,False,,,activities/16141488518.gpx,,9.0,1554.0,1293.0,15693.3,24.46,12.137,91.7,93.4,-12.6,16.8,20.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760464800.0,1.0,29.2,29.5,23.4,0.71,1009.5,2.9,5.6,297.0,0.0,1760408206.0,1760449963.0,0.75,,,0.0,1.0,0.0,22383.0,0.0,,,,,,10.099,0.0,,,,,0.0,,,,,,,,,,,,
16159788864,"Oct 16, 2025",10.16 study,Workout,,1229,0.01,,,False,,,activities/16159788864.gpx,,,1229.0,14.0,12.6,1.131,0.903,0.0,0.0,31.7,31.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760619600.0,1.0,33.6,34.4,21.5,0.49,1008.9,4.9,7.5,333.0,0.0,1760581053.0,1760622660.0,0.875,,,0.53,5.0,0.07,20139.9,0.0,,,,,,0.01,0.0,,,,,0.0,,,,,,,0.0,,,,,
16172455321,"Oct 17, 2025",10.17 study,Workout,,1943,0.0,,,False,,,activities/16172455321.gpx,,,1943.0,0.0,1.3,0.108,0.0,0.0,0.0,30.7,30.8,0.0,-7.9,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1760720400.0,1.0,28.4,28.3,20.2,0.61,1012.7,2.4,3.6,35.0,0.0,1760667477.0,1760709001.0,0.875,,,0.0,5.0,0.0,21927.4,0.0,,,,,,0.001,0.0,,,,,0.0,,,,,,,,,,,,
